"mun";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"Queimados (RJ)";-0.595502499463784;0.410988287199109;-0.231434198727836;0.344386291311361;0.545441015119577;-1.18978937296031;1.02772224425278;-0.638685176433022;-0.637927165689709;-0.333822323738765;0.277533536389151;-0.786365301192926;-0.346895092781904;-0.576692971045014;-0.212999261774076;-1.05533788351655;-0.65253863688382;1.2626462796264
"Quissamã (RJ)";-0.522108371747709;2.36364181808014;-2.31371057735099;-1.05534253148179;-0.247050668250626;-0.208797963383778;-1.3208722428805;0.00901358670546202;-0.275238945685466;-0.258698688712402;1.33769504198229;-0.133622975992183;3.64541651597405;-0.672039387599014;0.268658441228605;-0.0655877912175151;-0.234171491358096;-0.129487256389892
"Resende (RJ)";-0.57998998019217;2.02658099237433;-1.93896844087959;0.0925242909217396;1.0209360251417;1.15574534731263;0.620271722279971;1.20741456428578;0.625141308732819;-0.30436862979695;1.37666421482718;1.60702322454314;0.820480783029086;1.60315391327446;1.56784815834961;1.34248171324088;1.26110076904723;-2.19629791115137
"Rio Bonito (RJ)";-0.487323414680702;-0.429300079040774;0.617321418783981;0.926650611364465;0.00654667042783819;5.2359742863351;-0.660245930840258;-0.0869174102445982;0.461337841637552;2.05670372929126;-0.35574413609849;0.0295626053080031;-0.251853657340909;-0.580525287374057;-0.215874361600093;0.278611923602116;-0.185032006748896;0.252522266675691
"Rio Claro (RJ)";2.21134327517791;-0.748345895408723;0.0398551273759442;-1.21615441872155;-0.659146343603131;-0.947460943830758;-0.348842137927429;0.546271045285955;-0.593805049793068;-0.419468107715772;-0.147780168530035;-0.704772510542833;-0.366433511748025;0.357871723251917;-1.20362578229527;-0.351736945868453;-0.453901776122905;0.143721374256933
"Rio das Flores (RJ)";-0.266392343998623;-1.03560761032176;1.18136586651997;-1.87501145607537;-0.21535100091582;-0.734641082462261;-0.966373116553241;-0.821145243157378;-0.654880147224893;-0.462705490680078;0.399810854709987;-0.786365301192926;0.437063192585895;0.802185778345725;-1.10107483315065;-1.32148230432685;-0.533545841451837;0.289592508420799
"Rio das Ostras (RJ)";-0.615737145988865;2.77752772629941;-2.71810773171856;-0.13663639651573;1.17943436181574;0.0741646121019905;0.669429646311551;2.01409991596646;-0.0657394139264246;-0.73169656279454;-0.379915239413496;1.74301120895996;0.944903078407463;0.527760544255196;1.46031350169805;2.60703928146115;0.0669692420232076;-1.59314371806092
"Rio de Janeiro (RJ)";-0.623182263940783;-0.480461698427389;0.717222588219458;0.481287100655989;1.4013320331594;0.702487848686339;1.02772224425278;3.79576511577402;7.25284003569944;0.113764253441709;1.32564840482754;2.45014872792744;0.158172027122834;-0.625797911590157;2.76943212695417;2.78375864002107;4.98241902497347;-1.86548521630122
"Santa Maria Madalena (RJ)";1.38377171177377;-0.429461754140046;-0.0159912297419597;-2.14315168920656;-1.61013636364737;-0.774775779616148;-1.76229527764343;-0.710891977142901;-0.398552766842526;1.33825488837344;-0.12575921717438;-1.1127364637933;-0.349558572707795;-1.12852598051468;-1.3659233115249;-0.77480879737381;-0.556263404330873;0.421706350343365
"Santo Antônio de Pádua (RJ)";-0.0513024447669005;-0.403121439052259;0.442125585227014;1.25992120704926;-0.405549004924667;0.55139368631545;-0.506100674949615;-0.0335458036435029;0.451245787046022;0.318252669399207;0.721095711843281;0.247143380374918;-0.312522650928046;0.534686975427078;-0.381158424787927;-0.166228232110785;0.0379422872253697;-1.55854657095463
"São Francisco de Itabapoana (RJ)";1.53425425524845;-0.837233286308157;0.362728412772971;-0.0390779446858718;-3.16342006305298;-1.00041582644517;-2.18688497394931;-1.25109537290513;-0.293836470251017;-0.613654808685098;-3.00234082073399;-1.90146677341087;-0.24420882213796;-0.803886277447417;-1.49058907749018;-1.3396635581655;-0.714995848252296;1.96680092370742
"São Fidélis (RJ)";0.487933080530804;-0.500116885360642;0.361756663362498;-0.234462814101131;-0.722545678272748;0.237011270816038;-0.346565455108192;-0.389847503847762;0.266186176626929;-0.0789211953687637;0.943968271639361;-0.487191735475921;-0.389480118298424;-0.175502367358088;-0.738503587286568;-0.357088413624483;0.0397226895903637;0.355335585867545
"São Gonçalo (RJ)";-0.578954349033069;-0.38822698023565;0.605065347515694;1.26767225133152;1.21113402915055;-0.786990530263214;1.02293805005041;0.0413562161900951;-0.566464674045288;-0.295035257910625;0.072149153777956;0.818292914925571;-0.390489128054906;-0.0283298193209988;0.712295802629547;-0.00748065247947303;0.479159568622724;-0.997001239686949
"São João da Barra (RJ)";-0.524552769064538;3.54747591838746;-3.56024117064229;-0.287464565607352;-0.627446676268325;-0.47263972666432;-0.385554014669926;-0.38207524404913;-0.647740431909829;-0.605988450326089;-1.15654409765734;-1.03114367314321;2.3115988065186;-0.666045319837983;-0.674506997043408;-0.480749766265893;-0.713350260473368;0.172483584295922
"São João de Meriti (RJ)";-0.626712890330343;-0.738939973359126;0.990766148144864;1.84904653223868;1.24283369648536;-0.657354267130094;1.02772224425278;-0.207387437123407;-0.442534221604826;-0.218992177969831;1.01791912962306;0.274340977258283;-0.389317694242046;0.190388066576623;0.706748500937853;-0.537267116651001;-0.264991446848289;-0.542982298227405
